data,categoria,situacao,orientacao,resultado
2020-09-15,investimento,Duvida sobre CDB,Avaliar liquidez e prazo antes de investir,orientado
2020-09-22,tecnologia,Erro no app,Verificar atualizacao e suporte tecnico,resolvido
2020-10-01,investimento,Tesouro Selic,Explicar funcionamento e baixo risco,orientado
2020-10-12,planejamento,Reserva de emergencia,Acompanhar progresso mensal,em andamento
2020-10-25,cadastro,Atualizacao de dados,Manter informacoes atualizadas,concluido
2020-11-02,lazer,Gastar R$400 em compras no shopping,Verificar saldo após despesas essenciais,em avaliacao
2020-11-05,consumo,Parcelar celular em 12x,Checar sobra mensal e risco de endividamento,orientado
2020-11-10,planejamento,Guardar R$200 como reserva,Recomendar prioridade sobre gastos supérfluos,em andamento
2020-11-15,saude,Assinar academia por R$99/mês,Confirmar renda estável antes de assumir compromisso,orientado
2020-11-20,essencial,Pagar R$800 em despesas da semana,Priorizar pagamento imediato,concluido
